,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.variation_id,data.used_image_url,data.cheapest_product,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.discount_tag
354,"['air', 'force', '1']",Wmns Air Force 1 '07 'Triple Black',False,726571,DD8959 001,wmns-air-force-1-07-triple-black-dd8959-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/065/518/689/original/726571_00.png.png,sneakers,20210116.0,2021.0,9000.0,72662da0-ed27-4d5f-b68e-04cbfd59996b,,,new_no_defects,8100,10900,36100,12300,6600,64300,56300,11200,249100,7500,1082300,10780500,48,9400.0,14300.0,7700.0,1256000.0,12510700.0,8700.0,12900.0,12700.0,289000.0,41900.0,65300.0,74600.0,7500.0,1199700.0,71500.0,40900.0,11908200.0,62700.0,12300.0,12600.0,8500.0,13500.0,278800.0,under_retail
355,"['air', 'force', '1']",Air Force 1 High '07 LV8 EMB 'Inspected By Swoosh',False,1093441,DX4980 001,air-force-1-high-07-lv8-emb-inspected-by-swoosh-dx4980-001,cream,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/085/740/873/original/1093441_00.png.png,sneakers,20221128.0,2022.0,13500.0,ac33ae7e-e45b-45b6-bc4f-69793f490ea7,,,new_no_defects,8900,12000,39700,13500,7300,70700,61900,12300,273700,8200,1189200,11844300,0,13500.0,20500.0,11000.0,1803800.0,17966100.0,12500.0,18600.0,18200.0,415100.0,60100.0,93800.0,107200.0,11600.0,1871500.0,107200.0,61200.0,17979500.0,95100.0,18500.0,18800.0,13000.0,20800.0,419500.0,under_retail
356,"['air', 'force', '1']",Air Force 1 '07 Premium 'NAI-KE - The One Line',False,1082685,DM8871 111,air-force-1-07-premium-nai-ke-the-one-line-dm8871-111,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/655/599/original/DM8871_111.png.png,sneakers,20211109.0,2021.0,0.0,9e3a7c67-6ac7-4802-bced-98172b8d5330,,,new_no_defects,10600,14300,47200,16100,8700,84200,73700,14600,325900,9800,1416300,14106700,0,,,,,,,,,,,,,,,,,,,,,,,,
357,"['air', 'force', '1']",Air Force 1 Premium GS 'Gym Red',False,196989,748981 602,air-force-1-premium-gs-748981-602,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/005/824/999/original/748981_602.png.png,sneakers,,,7500.0,e07c6f71-82be-423a-9ab0-120095109da2,https://image.goat.com/attachments/product_outer_pictures/images/085/897/942/square/temp1678566950.jpeg?1678566950,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/085/897/942/square/temp1678566950.jpeg?1678566950""}",used,3000,4100,13400,4600,2500,23900,20900,4200,92300,2800,400900,3992800,1,,,,,,,,,,,,,6200.0,996900.0,59600.0,33600.0,9826100.0,52300.0,10100.0,10400.0,7100.0,11400.0,230400.0,
358,"['air', 'force', '1']",Wmns Air Force 1 PLT.AF.ORM 'Pastel Leopard',False,1122436,DX2671 100,wmns-air-force-1-plt-af-orm-pastel-leopard-dx2671-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/803/326/original/DX2671_100.png.png,sneakers,,,11000.0,f677a248-8efe-45c0-acc6-a6095f9911b3,,,new_no_defects,10400,14100,46300,15800,8500,82600,72300,14300,319800,9600,1389600,13840600,0,,,,,,,,,,,,,9200.0,1480100.0,87300.0,48400.0,14146900.0,76000.0,14800.0,14900.0,10400.0,16000.0,336800.0,under_retail
359,"['air', 'force', '1']",Wmns Air Force 1 '07 LX 'Leap High',False,1123837,FD4622 131,wmns-air-force-1-07-lx-leap-high-fd4622-131,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/871/257/original/FD4622_131.png.png,sneakers,20230221.0,2023.0,12000.0,343c0792-7d22-48d3-b6a9-ffd085304498,,,new_no_defects,11300,15300,50400,17200,9200,89700,78500,15500,347400,10400,1509800,15038300,0,,,,,,,,,,,,,10100.0,1637400.0,95200.0,53800.0,15830200.0,83400.0,16300.0,16500.0,11400.0,17700.0,370900.0,under_retail
360,"['air', 'force', '1']",Air Force 1 '07 '3D Swoosh',False,948942,DR0149 100,air-force-1-07-3d-swoosh-dr0149-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/072/725/928/original/DR0149_100.png.png,sneakers,20220301.0,2022.0,10000.0,4bd59130-5225-4dd1-9b1b-4c38529f4a08,,,new_no_defects,12800,17300,57000,19500,10500,101600,89000,17600,393600,11800,1710200,17034500,0,,,,,,,,,,,,,8400.0,1338700.0,79400.0,44200.0,12862400.0,69000.0,13500.0,13500.0,9500.0,14600.0,305700.0,
361,"['air', 'force', '1']",Air Force 1 Impact Next Nature GS 'White Doll',False,1123828,DZ6307 100,air-force-1-impact-next-nature-gs-white-doll-dz6307-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/871/240/original/DZ6307_100.png.png,sneakers,,,0.0,82c05fbb-1bd9-4d4a-90d5-4a5eaa1edd0f,,,new_no_defects,6300,8500,28100,9600,5200,50000,43800,8700,193700,5800,841800,8384200,0,,,,,,,,,,,,,,,,,,,,,,,,
362,"['air', 'force', '1']",Air Force 1 Low GS 'Valentine's Day 2023',False,1112099,FD1031 600,air-force-1-low-gs-valentine-s-day-2023-fd1031-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/670/142/original/1112099_00.png.png,sneakers,20230207.0,2023.0,9000.0,bac68d3b-aa1c-4a73-85a9-aaedbd4cc05f,,,new_no_defects,8300,11200,37000,12600,6800,65900,57700,11400,255200,7700,1109000,11046700,0,10600.0,16100.0,8700.0,1416300.0,14107800.0,9800.0,14600.0,14300.0,325900.0,47200.0,73700.0,84200.0,7600.0,1214600.0,71500.0,41000.0,11821500.0,62800.0,12300.0,12500.0,8600.0,13700.0,278200.0,under_retail
363,"['air', 'force', '1']",Air Force 1 '07 'Shroud - Black Royal Camo',False,912743,DC8875 001,air-force-1-07-shroud-black-royal-camo-dc8875-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/069/204/392/original/DC8875_001.png.png,sneakers,,,0.0,be51829d-6374-4564-a426-9393ebbba3a3,,,new_no_defects,4800,6500,21400,7300,4000,38100,33400,6600,147600,4500,641400,6388000,0,6700.0,10200.0,5500.0,895200.0,8916500.0,6200.0,9200.0,9100.0,206000.0,29900.0,46600.0,53200.0,,,,,,,,,,,,
