,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_cny,data.retail_price_cents_krw,data.retail_price_cents_cad,data.retail_price_cents_myr,data.retail_price_cents_eur,data.retail_price_cents_twd,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_aud,data.retail_price_cents_sgd,data.retail_price_cents_hkd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.lowest_price_cents_twd,data.lowest_price_cents_cad,data.lowest_price_cents_gbp,data.lowest_price_cents_eur,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_sgd,data.lowest_price_cents_cny,data.lowest_price_cents_hkd,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_hkd,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_aud,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
228,"['jordan', '4']",Jordan One Take 4 'Pink Blast',False,1170882,DO7193 104,jordan-one-take-4-pink-blast-do7193-104,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/421/305/original/DO7193_104.png.png,sneakers,20230321.0,2023.0,10000.0,69000.0,12981200.0,13900.0,44700.0,9400.0,306900.0,8300.0,1322800.0,15200.0,13500.0,79400.0,219dbd3b-5dad-4448-ac28-01f21877374b,new_no_defects,7500.0,1002100.0,9982000.0,230600.0,10300.0,6200.0,6900.0,33400.0,11400.0,10100.0,52100.0,59600.0,0.0,,,,,,,,,,,,,under_retail,,,
229,"['jordan', '4']",Air Jordan 4 Retro Premium 'Snakeskin',False,45762,819139 030,air-jordan-4-pinnacle-snakeskin-819139-030,tan,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/458/915/original/45762_00.png.png,sneakers,20160521.0,2016.0,40000.0,276000.0,51449400.0,54000.0,176500.0,37800.0,1222600.0,33400.0,5354700.0,58100.0,53800.0,317500.0,a4faf61f-d758-4e5b-82b9-bc7de148b905,new_no_defects,110000.0,14697000.0,146401300.0,3381700.0,150800.0,89600.0,101200.0,489700.0,166700.0,147900.0,764100.0,873000.0,0.0,,,,,,,,,,,,,,,,
230,"['jordan', '4']",Air Jordan 4 Retro SE PS 'What The 4',False,562052,BQ7669 146,air-jordan-4-retro-se-ps-what-the-4-bq7669-146,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/266/449/original/562052_00.png.png,sneakers,20191123.0,2019.0,0.0,,,,,,,,,,,,fec2202c-b148-4170-adb5-783ae334e989,new_no_defects,11900.0,1590000.0,15838000.0,365900.0,16400.0,9700.0,11000.0,53000.0,18100.0,16000.0,82700.0,94500.0,2.0,,,,,,,,,,,,,,,,
231,"['jordan', '4']",Air Jordan 4 Retro Winter PS 'Loyal Blue',False,565501,BQ7669 401,jordan-4-retro-ps-loyal-blue-bq7669-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/028/320/331/original/BQ7669_401.png.png,sneakers,20191009.0,2019.0,0.0,,,,,,,,,,,,874263a8-e18d-4d2d-8b7c-941f8d9c2378,new_no_defects,8700.0,1162400.0,11579100.0,267500.0,12000.0,7100.0,8000.0,38800.0,13200.0,11700.0,60500.0,69100.0,1.0,,,,,,,,,,,,,,,,
232,"['jordan', '4']",Air Jordan 4 Flyknit 'Total Orange',False,504668,AQ3559 800,air-jordan-4-flyknit-aq3559-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/328/532/original/504668_00.png.png,sneakers,20190614.0,2019.0,19000.0,131100.0,24438500.0,25700.0,83800.0,18000.0,580700.0,15900.0,2543500.0,27600.0,25600.0,150800.0,7706360d-7b12-46cf-98e2-27047148c38c,new_no_defects,26500.0,3540700.0,35269500.0,814700.0,36400.0,21600.0,24400.0,118000.0,40200.0,35700.0,184100.0,210400.0,0.0,,,,,,,,,,,,,,,,
233,"['jordan', '4']",Jordan Max Aura 4 GS 'Black Anthracite',False,1027564,DQ8404 001,jordan-max-aura-4-gs-black-anthracite-dq8404-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/077/488/451/original/DQ8404_001.png.png,sneakers,20220822.0,2022.0,9500.0,65600.0,12219300.0,12900.0,41900.0,9000.0,290400.0,8000.0,1271800.0,13800.0,12800.0,75400.0,4661245a-f101-4417-9dbb-b7e64fe1432e,new_no_defects,5500.0,734900.0,7320100.0,169100.0,7600.0,4500.0,5100.0,24500.0,8400.0,7400.0,38300.0,43700.0,0.0,6200.0,8400.0,5800.0,27600.0,828400.0,43100.0,5100.0,190700.0,49300.0,8251800.0,8500.0,9400.0,under_retail,,,
234,"['jordan', '4']",Air Jordan 4 Retro 'Laser' 2005,False,14962,308497 161,air-jordan-4-retro-laser-2005-308497-161,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/045/282/026/original/14962_00.png.png,sneakers,20050514.0,2005.0,20000.0,138300.0,25353500.0,27200.0,89100.0,19000.0,618300.0,16800.0,2670800.0,29400.0,27100.0,157900.0,1bce8968-3af8-4047-ab9c-ab6269a9060a,new_no_defects,57500.0,7682500.0,76522100.0,1767700.0,78900.0,46900.0,52900.0,256000.0,87200.0,77500.0,399500.0,456400.0,0.0,,,,,,,,,,,,,,,,
235,"['jordan', '4']",Jordan One Take 4 'Bred',False,1091060,DO7193 061,jordan-one-take-4-bred-do7193-061,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/288/147/original/DO7193_061.png.png,sneakers,20221122.0,2022.0,10000.0,69400.0,13106000.0,13600.0,44800.0,9500.0,307300.0,8400.0,1357500.0,14700.0,13600.0,79300.0,074973c2-ca5a-40c7-b286-76d43f314a24,new_no_defects,10900.0,1456400.0,14507100.0,335100.0,15000.0,8900.0,10100.0,48600.0,16600.0,14700.0,75800.0,86600.0,0.0,,,,,,,,,,,,,,,,
236,"['jordan', '4']",Air Jordan 4 Retro SE GS 'Monsoon Blue',False,502393,BQ9043 400,air-jordan-4-retro-se-gs-monsoon-blue-bq9043-400,blue,shoes,,sneakers,20190406.0,2019.0,15000.0,103500.0,19293600.0,20300.0,66200.0,14200.0,458500.0,12500.0,2008000.0,21800.0,20200.0,119100.0,8d418aae-2887-4f83-ba99-33949dc1d153,new_no_defects,24400.0,3260100.0,32474500.0,750200.0,33500.0,19900.0,22500.0,108700.0,37000.0,32900.0,169500.0,193700.0,0.0,28200.0,38000.0,26000.0,125600.0,3767800.0,195900.0,23000.0,867000.0,223800.0,37532000.0,38700.0,42800.0,,,,
237,"['jordan', '4']",Air Jordan 4 Retro PS 'White Cement' 2012,False,18393,308499 103,jordan-4-retro-ps-2012-release-308499-103,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/001/236/197/original/308499_103.png.png,sneakers,,,0.0,,,,,,,,,,,,b89b95bd-a7c1-412f-a319-119056e06213,new_no_defects,14000.0,1868200.0,18644500.0,430400.0,19200.0,11400.0,13000.0,62400.0,21300.0,18900.0,97300.0,111200.0,0.0,,,,,,,,,,,,,,,,
