,matched_terms,value,is_slotted,data.id,data.sku,data.slug,data.color,data.category,data.image_url,data.product_type,data.release_date,data.release_date_year,data.retail_price_cents,data.retail_price_cents_gbp,data.retail_price_cents_jpy,data.retail_price_cents_hkd,data.retail_price_cents_myr,data.retail_price_cents_krw,data.retail_price_cents_cny,data.retail_price_cents_sgd,data.retail_price_cents_cad,data.retail_price_cents_eur,data.retail_price_cents_aud,data.retail_price_cents_twd,data.variation_id,data.product_condition,data.lowest_price_cents,data.lowest_price_cents_sgd,data.lowest_price_cents_myr,data.lowest_price_cents_aud,data.lowest_price_cents_gbp,data.lowest_price_cents_hkd,data.lowest_price_cents_cny,data.lowest_price_cents_cad,data.lowest_price_cents_twd,data.lowest_price_cents_eur,data.lowest_price_cents_jpy,data.lowest_price_cents_krw,data.count_for_product_condition,data.instant_ship_lowest_price_cents,data.instant_ship_lowest_price_cents_aud,data.instant_ship_lowest_price_cents_gbp,data.instant_ship_lowest_price_cents_jpy,data.instant_ship_lowest_price_cents_krw,data.instant_ship_lowest_price_cents_eur,data.instant_ship_lowest_price_cents_cad,data.instant_ship_lowest_price_cents_sgd,data.instant_ship_lowest_price_cents_twd,data.instant_ship_lowest_price_cents_myr,data.instant_ship_lowest_price_cents_cny,data.instant_ship_lowest_price_cents_hkd,data.discount_tag,data.used_image_url,data.cheapest_product,data.season
137,"['jordan', '1']",Air Jordan 1 High Element GORE-TEX 'Black Particle Grey',False,760013,DB2889 001,air-jordan-1-high-element-gore-tex-black-particle-grey-db2889-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/064/377/223/original/760013_00.png.png,sneakers,20211204.0,2021.0,20000.0,16500.0,2658400.0,158800.0,89400.0,26202900.0,139300.0,27000.0,27700.0,18800.0,30400.0,614400.0,b1b52401-2798-4fcb-9b41-823718ee8eb1,new_no_defects,10800,14600,48100,16400,8800,85800,75100,14900,332100,10000,1443000,14374000,0,24200.0,36700.0,19700.0,3233400.0,32208300.0,22300.0,33200.0,32600.0,744000.0,107800.0,168100.0,192100.0,under_retail,,,
138,"['jordan', '1']",Wmns Air Jordan 1 Mid 'Dark Concord',False,1056869,BQ6472 051,wmns-air-jordan-1-mid-dark-concord-bq6472-051,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/150/250/original/1056869_00.png.png,sneakers,20230110.0,2023.0,12500.0,10500.0,1673400.0,99300.0,55200.0,16078000.0,86300.0,16800.0,16900.0,11800.0,18200.0,382100.0,7534437b-9ef1-41ca-ba25-3b2cf9fb74ed,new_no_defects,7900,10700,35200,12000,6500,62700,54900,10900,242900,7300,1055600,10513500,0,8500.0,12900.0,7000.0,1135700.0,11312000.0,7900.0,11700.0,11500.0,261400.0,37900.0,59100.0,67500.0,under_retail,,,
139,"['jordan', '1']",Air Jordan 1 Retro High OG GS 'Dark Mocha',False,697103,575441 105,air-jordan-1-retro-high-og-gs-black-mocha-575441-105,brown,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/044/930/877/original/697103_00.png.png,sneakers,20201031.0,2020.0,13000.0,10900.0,1740300.0,103200.0,57400.0,16721100.0,89700.0,17500.0,17600.0,12300.0,18900.0,397400.0,1df6ea7d-956a-40c3-a57c-3046d075afcc,new_no_defects,38300,51500,170500,58100,31200,304000,266100,52600,1177500,35300,5117300,50974300,98,41600.0,63100.0,33900.0,5558200.0,55366400.0,38300.0,57100.0,56000.0,1278900.0,185200.0,289000.0,330200.0,,https://image.goat.com/attachments/product_outer_pictures/images/054/291/500/square/temp1620344031.jpeg?1620344031,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/291/500/square/temp1620344031.jpeg?1620344031""}",
140,"['jordan', '1']",Air Jordan 1 Retro High OG 'Pollen',False,702994,555088 701,air-jordan-1-high-retro-og-pollen-555088-701,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/773/121/original/702994_00.png.png,sneakers,20210814.0,2021.0,17000.0,14200.0,2275800.0,135000.0,75000.0,21866000.0,117300.0,22900.0,23000.0,16100.0,24700.0,519600.0,c543dfbf-4beb-41b4-a8e7-e2fdaf5f379e,new_no_defects,14300,19300,63700,21700,11700,113500,99400,19700,439700,13200,1910700,19032200,0,,,,,,,,,,,,,under_retail,,,
141,"['jordan', '1']",Wmns Air Jordan 1 Low 'Sunset Haze',False,1120540,DC0774 801,wmns-air-jordan-1-low-sunset-haze-dc0774-801,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/086/092/678/original/1120540_00.png.png,sneakers,20230301.0,2023.0,11000.0,9300.0,1483000.0,87300.0,49900.0,14572000.0,76900.0,15100.0,15400.0,10600.0,16900.0,340500.0,e21e9bc9-9d96-4554-9d77-a349b098b481,new_no_defects,8300,11200,37000,12600,6800,65900,57700,11400,255200,7700,1109000,11046700,0,,,,,,,,,,,,,under_retail,,,
142,"['jordan', '1']",Wmns Air Jordan 1 Mid 'Marine Green',False,934533,DV2229 300,wmns-air-jordan-1-mid-marine-green-dv2229-300,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/921/498/original/934533_00.png.png,sneakers,20220810.0,2022.0,0.0,,,,,,,,,,,,bbce0df6-9a04-4e2d-94f9-888bb454b243,new_no_defects,12100,16300,53900,18400,9900,96100,84100,16600,372000,11200,1616700,16104200,0,13800.0,21000.0,11300.0,1843800.0,18366800.0,12700.0,19000.0,18600.0,424300.0,61500.0,95900.0,109600.0,,,,
143,"['jordan', '1']",Air Jordan 1 Retro High OG GS 'University Blue',False,723380,575441 134,air-jordan-1-retro-high-og-gs-university-blue-575441-134,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/014/813/original/723380_00.png.png,sneakers,20210306.0,2021.0,13000.0,10900.0,1740300.0,103200.0,57400.0,16721100.0,89700.0,17500.0,17600.0,12300.0,18900.0,397400.0,9c71c340-eb8f-4576-8728-0dab9a3757c0,new_no_defects,27100,36500,120700,41100,22100,215100,188300,37200,833200,25000,3620800,36065200,101,31000.0,47000.0,25300.0,4141900.0,41255400.0,28600.0,42500.0,41800.0,953100.0,138000.0,215400.0,246100.0,,https://image.goat.com/attachments/product_outer_pictures/images/054/579/735/square/temp1620881376.jpeg?1620881376,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/054/579/735/square/temp1620881376.jpeg?1620881376""}",
144,"['jordan', '1']",Air Jordan 1 Low 'Shadow Toe',False,926171,553558 052,air-jordan-1-low-shadow-toe-553558-052,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/073/897/706/original/926171_00.png.png,sneakers,20220616.0,2022.0,10000.0,8400.0,1338700.0,79400.0,44200.0,12862400.0,69000.0,13500.0,13500.0,9500.0,14600.0,305700.0,16a3f92c-5e24-457d-a506-79e7e858fdcc,new_no_defects,14800,20000,65900,22500,12100,117500,102900,20300,455000,13700,1977500,19696200,0,18800.0,28500.0,15400.0,2511900.0,25019400.0,17300.0,25800.0,25400.0,578000.0,83700.0,130600.0,149200.0,,,,
145,"['jordan', '1']",Air Jordan 1 Retro High OG 'Volt Gold',False,602213,555088 118,air-jordan-1-retro-high-og-volt-555088-118,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/070/778/original/602213_00.png.png,sneakers,20210109.0,2021.0,17000.0,14200.0,2275800.0,135000.0,75000.0,21866000.0,117300.0,22900.0,23000.0,16100.0,24700.0,519600.0,6ba2f7e3-8a5b-434b-8c26-a93d6f29f159,new_no_defects,13500,18200,60100,20500,11000,107200,93800,18600,415100,12500,1803800,17967500,101,15000.0,22800.0,12300.0,2004200.0,19963900.0,13800.0,20600.0,20200.0,461200.0,66800.0,104200.0,119100.0,under_retail,https://image.goat.com/attachments/product_outer_pictures/images/051/772/786/square/temp1615837272.jpeg?1615837272,"{""picture_url"":""https://image.goat.com/attachments/product_outer_pictures/images/051/772/786/square/temp1615837272.jpeg?1615837272""}",
146,"['jordan', '1']",Air Jordan 1 Mid 'Shadow',False,824701,554724 096,air-jordan-1-mid-shadow-554724-096,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/061/755/177/original/824701_00.png.png,sneakers,20211006.0,2021.0,12000.0,10000.0,1606400.0,95300.0,53000.0,15434900.0,82800.0,16200.0,16200.0,11400.0,17500.0,366800.0,a00b4fc5-c3ac-41e8-a27b-eba048404d84,new_no_defects,15200,20500,67700,23100,12400,120700,105600,20900,467300,14000,2030900,20230000,0,18600.0,28200.0,15200.0,2485200.0,24755200.0,17200.0,25500.0,25100.0,571900.0,82800.0,129300.0,147700.0,,,,
